Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t2,0,500
oa1,t3,10,490
oa1,t4,0,500
oa2,t3,9,491
oa2,t4,-1,501
oa3,t2,9,491
oa3,t3,0,500
oa3,t4,10,490
oa3,t6,0,500
oa4,t4,10,490
oa4,t6,1,499
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa1,i1,t1,0,0,1
oa3,i1,t1,1,1,0
oa1,i1,t2,1,1,0
oa3,i1,t2,0,0,1
oa1,i1,t3,0,0,1
oa3,i1,t3,1,1,0
oa3,i1,t5,0,0,1
oa1,i1,t0,1,1,0
oa1,i2,t1,0,0,1
oa3,i2,t1,1,1,0
oa2,i2,t2,1,1,0
oa3,i2,t2,0,0,1
oa2,i2,t3,0,0,1
oa4,i2,t3,1,1,0
oa4,i2,t5,0,0,1
oa1,i2,t0,1,1,0

Zero data:
oa2,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa2,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa2,i1,t3,0,0,0
oa4,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa1,i1,t5,0,0,0
oa2,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
oa2,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa1,i2,t2,0,0,0
oa4,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa1,i2,t3,0,0,0
oa3,i2,t3,0,0,0
ra5,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa1,i2,t5,0,0,0
oa2,i2,t5,0,0,0
oa3,i2,t5,0,0,0
ra5,i2,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t1,10,490
oa1,t2,9,491
oa1,t4,10,490
oa1,t6,0,500
oa1,t3,-1,501
oa2,t2,9,491
oa2,t3,-1,501
oa2,t4,8,492
oa2,t6,-1,501
oa4,t3,11,489
oa4,t4,2,498
oa4,t1,10,490
oa4,t2,1,499
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa1,i1,t1,0,0,1
oa2,i1,t1,1,1,0
oa2,i1,t2,0,0,1
oa4,i1,t2,1,1,0
oa1,i1,t3,1,1,0
oa4,i1,t3,0,0,1
oa1,i1,t5,0,0,1
oa1,i1,t0,1,1,0
oa1,i2,t1,1,1,0
oa4,i2,t1,0,0,1
oa1,i2,t2,0,0,1
oa4,i2,t2,1,1,0
oa2,i2,t3,1,1,0
oa4,i2,t3,0,0,1
oa2,i2,t5,0,0,1
oa4,i2,t0,1,1,0

Zero data:
oa3,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa1,i1,t2,0,0,0
oa3,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa2,i1,t3,0,0,0
oa3,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa2,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
oa2,i2,t1,0,0,0
oa3,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa2,i2,t2,0,0,0
oa3,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa1,i2,t3,0,0,0
oa3,i2,t3,0,0,0
ra5,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa1,i2,t5,0,0,0
oa3,i2,t5,0,0,0
oa4,i2,t5,0,0,0
ra5,i2,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t1,10,490
oa1,t2,0,500
oa1,t3,10,490
oa1,t4,0,500
oa2,t4,9,491
oa2,t6,-1,501
oa3,t2,9,491
oa3,t3,0,500
ra5,t4,1,99
ra5,t6,1,99
ra5,t3,10,90
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa1,i1,t1,0,0,1
oa3,i1,t1,1,1,0
oa1,i1,t2,1,1,0
oa3,i1,t2,0,0,1
oa1,i1,t3,0,0,1
ra5,i1,t3,1,1,0
ra5,i1,t5,0,0,1
oa1,i1,t0,1,1,0
oa1,i2,t1,0,0,1
oa3,i2,t1,1,1,0
oa3,i2,t2,0,0,1
ra5,i2,t2,1,1,0
oa2,i2,t3,1,1,0
ra5,i2,t3,0,0,1
oa2,i2,t5,0,0,1
oa1,i2,t0,1,1,0

Zero data:
oa2,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa2,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa2,i1,t3,0,0,0
oa3,i1,t3,0,0,0
oa4,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa1,i1,t5,0,0,0
oa2,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
oa2,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa1,i2,t2,0,0,0
oa2,i2,t2,0,0,0
oa4,i2,t2,0,0,0
oa1,i2,t3,0,0,0
oa3,i2,t3,0,0,0
oa4,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa1,i2,t5,0,0,0
oa3,i2,t5,0,0,0
oa4,i2,t5,0,0,0
ra5,i2,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t3,9,491
oa1,t4,-1,501
oa2,t1,9,491
oa2,t2,-1,501
oa2,t3,8,492
oa2,t4,-2,502
oa4,t2,10,490
oa4,t3,1,499
ra5,t1,10,90
ra5,t4,12,88
ra5,t6,2,98
ra5,t2,2,98
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa2,i2,t1,0,0,1
oa4,i2,t1,1,1,0
oa1,i2,t2,1,1,0
oa4,i2,t2,0,0,1
oa1,i2,t3,0,0,1
ra5,i2,t3,1,1,0
ra5,i2,t5,0,0,1
oa2,i2,t0,1,1,0
oa4,i1,t1,1,1,0
ra5,i1,t1,0,0,1
oa2,i1,t2,1,1,0
oa4,i1,t2,0,0,1
oa2,i1,t3,0,0,1
ra5,i1,t3,1,1,0
ra5,i1,t5,0,0,1
ra5,i1,t0,1,1,0

Zero data:
oa1,i2,t1,0,0,0
oa3,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa2,i2,t2,0,0,0
oa3,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa2,i2,t3,0,0,0
